Country_territory,Direct_shipment_cargo_2014,Direct_shipment_cargo_percentage_distribution_2014,Direct_shipment_cargo_2023,Direct_shipment_cargo_percentage_distribution_2023,Direct_shipment_cargo_average_annual_rate_of_change_2014_2023,Transhipment_cargo_2014,Transhipment_cargo_percentage_distribution_2014,Transhipment_cargo_2023,Transhipment_cargo_percentage_distribution_2023,Transhipment_cargo_average_annual_rate_of_change_2014_2023,Overall_2014,Overall_percentage_distribution_2014,Overall_2023,Overall_percentage_distribution_2023,Overall_average_annual_rate_of_change_2014_2023
The mainland of China,88825,61.3,43141,57.8,-7.7,60431,39.5,42767,42.7,-3.8,149256,50.1,85908,49.1,-6
Malaysia,2736,1.9,3803,5.1,3.7,6821,4.5,6090,6.1,-1.3,9556,3.2,9893,5.7,0.4
Indonesia,7341,5.1,5463,7.3,-3.2,2489,1.6,2242,2.2,-1.2,9830,3.3,7706,4.4,-2.7
Vietnam,3575,2.5,2004,2.7,-6.2,9122,6,5539,5.5,-5.4,12697,4.3,7543,4.3,-5.6
Taiwan,4378,3,1935,2.6,-8.7,6982,4.6,4978,5,-3.7,11361,3.8,6913,4,-5.4
Singapore,6286,4.3,3645,4.9,-5.9,4089,2.7,2686,2.7,-4.6,10375,3.5,6331,3.6,-5.3
Japan,8169,5.6,3418,4.6,-9.2,6993,4.6,2872,2.9,-9.4,15161,5.1,6289,3.6,-9.3
Thailand,2419,1.7,1296,1.7,-6.7,5611,3.7,4582,4.6,-2.2,8029,2.7,5879,3.4,-3.4
United States of America,4424,3.1,949,1.3,-15.7,11614,7.6,3991,4,-11.2,16039,5.4,4939,2.8,-12.3
Korea,4089,2.8,2171,2.9,-6.8,3795,2.5,2309,2.3,-5.4,7884,2.6,4480,2.6,-6.1
Others,12549,8.7,6799,9.1,-6.6,35000,22.9,22184,22.1,-4.9,47549,16,28984,16.6,-5.4
Overall,144791,100,74624,100,-7.1,152946,100,100242,100,-4.6,297737,100,174866,100,-5.7
